run_key,execution_id,run_id,kind,parameters,duration_seconds,temperature,fundamental_weight,market_weight,place_market_weight,incremental_pseudo_r2,second_place_exponent,third_place_exponent,validation_race_log_loss,validation_race_brier,validation_ece,validation_top_pick_win_rate,validation_winner_top3_rate,validation_mean_winner_rank,validation_pseudo_r2,test_fundamental_race_log_loss,test_fundamental_race_brier,test_fundamental_ece,test_fundamental_top_pick_win_rate,test_fundamental_winner_top3_rate,test_fundamental_mean_winner_rank,test_fundamental_pseudo_r2,test_blended_race_log_loss,test_blended_race_brier,test_blended_ece,test_blended_top_pick_win_rate,test_blended_winner_top3_rate,test_blended_mean_winner_rank,test_blended_pseudo_r2,pool_fundamental_win_races,pool_fundamental_win_hits,pool_fundamental_win_hit_rate,pool_fundamental_win_mean_top_probability,pool_fundamental_win_calibration_gap,pool_fundamental_place_races,pool_fundamental_place_hits,pool_fundamental_place_hit_rate,pool_fundamental_place_mean_top_probability,pool_fundamental_place_calibration_gap,pool_fundamental_qin_races,pool_fundamental_qin_hits,pool_fundamental_qin_hit_rate,pool_fundamental_qin_mean_top_probability,pool_fundamental_qin_calibration_gap,pool_fundamental_qpl_races,pool_fundamental_qpl_hits,pool_fundamental_qpl_hit_rate,pool_fundamental_qpl_mean_top_probability,pool_fundamental_qpl_calibration_gap,pool_fundamental_tri_races,pool_fundamental_tri_hits,pool_fundamental_tri_hit_rate,pool_fundamental_tri_mean_top_probability,pool_fundamental_tri_calibration_gap,pool_fundamental_tierce_races,pool_fundamental_tierce_hits,pool_fundamental_tierce_hit_rate,pool_fundamental_tierce_mean_top_probability,pool_fundamental_tierce_calibration_gap,pool_fundamental_first4_races,pool_fundamental_first4_hits,pool_fundamental_first4_hit_rate,pool_fundamental_first4_mean_top_probability,pool_fundamental_first4_calibration_gap,pool_fundamental_quartet_races,pool_fundamental_quartet_hits,pool_fundamental_quartet_hit_rate,pool_fundamental_quartet_mean_top_probability,pool_fundamental_quartet_calibration_gap,pool_combined_win_races,pool_combined_win_hits,pool_combined_win_hit_rate,pool_combined_win_mean_top_probability,pool_combined_win_calibration_gap,pool_combined_place_races,pool_combined_place_hits,pool_combined_place_hit_rate,pool_combined_place_mean_top_probability,pool_combined_place_calibration_gap,pool_combined_qin_races,pool_combined_qin_hits,pool_combined_qin_hit_rate,pool_combined_qin_mean_top_probability,pool_combined_qin_calibration_gap,pool_combined_qpl_races,pool_combined_qpl_hits,pool_combined_qpl_hit_rate,pool_combined_qpl_mean_top_probability,pool_combined_qpl_calibration_gap,pool_combined_tri_races,pool_combined_tri_hits,pool_combined_tri_hit_rate,pool_combined_tri_mean_top_probability,pool_combined_tri_calibration_gap,pool_combined_tierce_races,pool_combined_tierce_hits,pool_combined_tierce_hit_rate,pool_combined_tierce_mean_top_probability,pool_combined_tierce_calibration_gap,pool_combined_first4_races,pool_combined_first4_hits,pool_combined_first4_hit_rate,pool_combined_first4_mean_top_probability,pool_combined_first4_calibration_gap,pool_combined_quartet_races,pool_combined_quartet_hits,pool_combined_quartet_hit_rate,pool_combined_quartet_mean_top_probability,pool_combined_quartet_calibration_gap
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c005-balanced,2026-07-25T17:42:55.785163+00:00,logit-c005-balanced,logit,"{""C"": 0.05, ""class_weight"": ""balanced""}",10.6029,0.5750046085351634,0.014438170109382737,1.0656037529119426,0.0,0.0006398992961875738,0.7527238649573899,0.6530386087658359,2.2830916952924545,0.8785817876893378,0.003641260235374034,0.20258880192655027,0.47591812161348584,4.427152317880795,0.08219710753029141,2.2910303402951393,0.8799993984158735,0.0018884399946117142,0.20349187236604455,0.47049969897652016,4.538229981938591,0.07579675707967459,2.0118687127603465,0.8135989378914851,0.0020689753811762085,0.3091511137868754,0.6167971101745936,3.526189042745334,0.188410753031092,3322,676,0.20349187236604455,0.18176502932360045,0.0217268430424441,3322,1574,0.4738109572546659,0.4412098286470697,0.032601128607596175,3322,201,0.060505719446116796,0.057304137452909826,0.00320158199320697,3322,495,0.1490066225165563,0.14202292015501378,0.0069837023615425264,3322,98,0.029500301023479832,0.0274663601414193,0.0020339408820605337,3322,17,0.005117399157134257,0.005167279032407094,-4.987987527283692e-05,3322,67,0.0201685731487056,0.019893669350894854,0.0002749037978107445,3322,2,0.0006020469596628537,0.0010697391243745609,-0.0004676921647117072,3322,1027,0.3091511137868754,0.3135676470175578,-0.004416533230682418,3322,2050,0.617098133654425,0.6255485021674008,-0.008450368512975759,3322,436,0.1312462372065021,0.12417769102349833,0.007068546183003774,3322,908,0.2733293196869356,0.26598310674358533,0.00734621294335025,3322,254,0.07645996387718242,0.06350774469657647,0.012952219180605948,3322,70,0.02107164358819988,0.015150776977437877,0.005920866610762002,3322,152,0.045755568934376885,0.04493982304466187,0.0008157458897150166,3322,14,0.004214328717639976,0.003589462869712647,0.0006248658479273291
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c010-balanced,2026-07-25T17:42:55.785163+00:00,logit-c010-balanced,logit,"{""C"": 0.1, ""class_weight"": ""balanced""}",10.7985,0.5835137125465925,0.019420194754804398,1.0637010451642228,0.0,0.000646555608025734,0.7515356385958919,0.6539933879387385,2.2843313362333366,0.8788925354405529,0.003818501919416735,0.20198675496688742,0.477423239012643,4.44521372667068,0.08169877185524566,2.293068514701737,0.8804418058089729,0.001999234095263225,0.20258880192655027,0.4692956050571945,4.547561709813365,0.07497455609739867,2.011852212263846,0.813591397484515,0.001990882707738464,0.3091511137868754,0.617098133654425,3.5258880192655027,0.18841740934293016,3322,673,0.20258880192655027,0.18121300967716536,0.021375792249384906,3322,1570,0.47260686333534013,0.4402877975035658,0.03231906583177435,3322,200,0.060204695966285374,0.05702630603374523,0.003178389932540146,3322,497,0.14960866947621915,0.14152929713922677,0.00807937233699238,3322,98,0.029500301023479832,0.027339856016144432,0.0021604450073354,3322,18,0.005418422636965683,0.005138330950191364,0.0002800916867743194,3322,72,0.021673690547862733,0.019827515152373014,0.0018461753954897193,3322,1,0.00030102347983142685,0.0010650934199750487,-0.0007640699401436218,3322,1027,0.3091511137868754,0.313517573642351,-0.004366459855475624,3322,2048,0.6164960866947622,0.6255002986419049,-0.009004211947142737,3322,437,0.13154726068633354,0.12402905520394852,0.007518205482385021,3322,910,0.27393136664659845,0.2659804466986614,0.007950919947937063,3322,254,0.07645996387718242,0.06353056709254974,0.012929396784632674,3322,70,0.02107164358819988,0.015147559663960652,0.005924083924239227,3322,152,0.045755568934376885,0.04500270212530911,0.0007528668090677759,3322,14,0.004214328717639976,0.0035914117066631565,0.0006229170109768195
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c050-balanced,2026-07-25T17:42:55.785163+00:00,logit-c050-balanced,logit,"{""C"": 0.5, ""class_weight"": ""balanced""}",16.3821,0.6035282714625696,0.029069148757911462,1.060218173021973,0.0,0.00065374099745652,0.7467444945665743,0.6499345218053704,2.2879028988409877,0.8797652993810837,0.003858065829272109,0.20108368452739314,0.4738109572546659,4.457856712823601,0.08026300363853389,2.2985418058039615,0.8813514219583177,0.0018915154969197576,0.20138470800722455,0.46598434677904876,4.55478627332932,0.07276662663563893,2.0118344002237794,0.8135741095343733,0.0022392373996138067,0.3091511137868754,0.6183022275737508,3.524683925346177,0.18842459473236095,3322,669,0.20138470800722455,0.1790739762701259,0.02231073173709866,3322,1571,0.4729078868151716,0.43603245501998356,0.03687543179518804,3322,201,0.060505719446116796,0.055798738414174244,0.004706981031942552,3322,495,0.1490066225165563,0.13888471437338243,0.010121908143173874,3322,97,0.029199277543648403,0.0266253600660764,0.0025739174775720047,3322,18,0.005418422636965683,0.004985511966187422,0.00043291067077826095,3322,73,0.02197471402769416,0.019332224096452078,0.0026424899312420813,3322,1,0.00030102347983142685,0.001030829654355879,-0.0007298061745244521,3322,1027,0.3091511137868754,0.3134375076372001,-0.004286393850324699,3322,2048,0.6164960866947622,0.624233450835202,-0.007737364140439795,3322,436,0.1312462372065021,0.12344823472935047,0.007798002477151636,3322,909,0.273630343166767,0.2647885384117368,0.008841804755030214,3322,254,0.07645996387718242,0.06309374065043344,0.013366223226748977,3322,70,0.02107164358819988,0.01503826066704964,0.006033382921150238,3322,153,0.04605659241420831,0.044635560943162726,0.0014210314710455807,3322,14,0.004214328717639976,0.003557000123080273,0.0006573285945597031
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c100-balanced,2026-07-25T17:42:55.785163+00:00,logit-c100-balanced,logit,"{""C"": 1.0, ""class_weight"": ""balanced""}",17.62,0.612342129839098,0.033578085950864804,1.0586541122447575,0.0,0.0006581341057053658,0.7440897057802157,0.6492824912094153,2.289520471037584,0.8800387865466027,0.003979911982102909,0.20048163756773027,0.47501505117399156,4.460264900662252,0.07961273959356552,2.300685405852571,0.8816418462378504,0.0023885685198809905,0.19777242624924743,0.46568332329921736,4.5653220951234195,0.0719018968755808,2.011823510038787,0.8135660694802844,0.0024106061331459834,0.31005418422636966,0.617098133654425,3.52528597230584,0.1884289878406098,3322,657,0.19777242624924743,0.17795334121907086,0.01981908503017657,3322,1563,0.47049969897652016,0.43391319181038374,0.03658650716613643,3322,199,0.059903672486453945,0.05519783791270115,0.004705834573752794,3322,492,0.14810355207706202,0.1376555818303412,0.010447970246720811,3322,97,0.029199277543648403,0.026298395666749286,0.002900881876899117,3322,19,0.005719446116797111,0.004915839094149133,0.0008036070226479777,3322,73,0.02197471402769416,0.019111513875005093,0.002863200152689066,3322,2,0.0006020469596628537,0.0010154855264553461,-0.0004134385667924924,3322,1030,0.31005418422636966,0.31340879430591756,-0.003354610079547904,3322,2047,0.6161950632149308,0.6237725496911493,-0.007577486476218476,3322,437,0.13154726068633354,0.12313052469649438,0.008416735989839164,3322,911,0.27423239012642986,0.26437023978915125,0.009862150337278608,3322,254,0.07645996387718242,0.06295229231114853,0.013507671566033885,3322,70,0.02107164358819988,0.014997837771599307,0.006073805816600572,3322,153,0.04605659241420831,0.04454670948074745,0.0015098829334608543,3322,14,0.004214328717639976,0.0035464175911418517,0.0006679111264981242
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c200-balanced,2026-07-25T17:42:55.785163+00:00,logit-c200-balanced,logit,"{""C"": 2.0, ""class_weight"": ""balanced""}",18.1615,0.6156676296371517,0.03473599148505365,1.0582730041023751,0.0,0.0006592593134777669,0.7429506321530734,0.648356943667972,2.2903211760701407,0.8800972003862614,0.0038386282243890843,0.20018061408789886,0.47561709813365444,4.459662853702588,0.07929085615961906,2.301614314922347,0.8817219579783139,0.0022771463330935786,0.19987959060806743,0.4650812763395545,4.5626128838049365,0.0715271743066278,2.011820720733333,0.8135625357147966,0.0024245716725367246,0.31005418422636966,0.6167971101745936,3.52528597230584,0.1884301130483822,3322,664,0.19987959060806743,0.17725711687395967,0.02262247373410775,3322,1570,0.47260686333534013,0.43262203979971864,0.039984823535621494,3322,196,0.059000602046959665,0.054835464642592854,0.00416513740436681,3322,488,0.1468994581577363,0.13689179995701803,0.010007658200718278,3322,97,0.029199277543648403,0.026090179824003152,0.0031090977196452513,3322,20,0.006020469596628537,0.004870335053726249,0.001150134542902288,3322,74,0.022275737507525588,0.01896443679741479,0.003311300710110796,3322,2,0.0006020469596628537,0.0010040514028592492,-0.00040200444319639546,3322,1030,0.31005418422636966,0.313400070929352,-0.003345886702982359,3322,2047,0.6161950632149308,0.6234802479269238,-0.00728518471199302,3322,438,0.13184828416616495,0.12299249406168007,0.008855790104484881,3322,912,0.27453341360626127,0.2640893829977101,0.010444030608551147,3322,254,0.07645996387718242,0.06284716964639146,0.013612794230790953,3322,70,0.02107164358819988,0.014972140997715601,0.0060995025904842775,3322,152,0.045755568934376885,0.04445791621945353,0.001297652714923353,3322,14,0.004214328717639976,0.003538328197756951,0.000676000519883025
2026-07-25T17:42:55.785163+00:00|baseline-v1|logit-c050-unweighted,2026-07-25T17:42:55.785163+00:00,logit-c050-unweighted,logit,"{""C"": 0.5, ""class_weight"": null}",7.6629,0.9895305482444544,0.011289880527814402,1.0666216976501237,0.0,0.0006300934894597487,0.7898052294490929,0.7068725582700727,2.268458005464734,0.8747302013973055,0.0018762412424924793,0.20590006020469598,0.4819385912101144,4.423540036122818,0.0880798510394899,2.2848079672804675,0.8785011127082437,0.0008296590434310944,0.20830824804334738,0.47019867549668876,4.524081878386514,0.07830686670924802,2.011893020617841,0.8136036779383292,0.0019891471315829842,0.3091511137868754,0.6167971101745936,3.52739313666466,0.18840094722436418,3322,692,0.20830824804334738,0.2026183498683843,0.005689898174963071,3322,1594,0.4798314268512944,0.479162393710173,0.0006690331411213779,3322,201,0.060505719446116796,0.06609594263229263,-0.00559022318617583,3322,491,0.1478025285972306,0.16113751812434518,-0.013334989527114594,3322,101,0.030403371462974112,0.03187114414744083,-0.001467772684466715,3322,14,0.004214328717639976,0.006275156029638008,-0.002060827311998032,3322,70,0.02107164358819988,0.022626353875910547,-0.0015547102877106686,3322,1,0.00030102347983142685,0.0013236809522182624,-0.0010226574723868355,3322,1027,0.3091511137868754,0.3136510821817669,-0.004499968394891529,3322,2049,0.6167971101745936,0.6383309707577084,-0.021533860583114794,3322,435,0.13094521372667067,0.128714553967125,0.0022306597595456723,3322,908,0.2733293196869356,0.27885052355644263,-0.005521203869507052,3322,255,0.07676098735701385,0.0686390731958643,0.008121914161149546,3322,69,0.020770620108368453,0.016316790357592332,0.004453829750776121,3322,152,0.045755568934376885,0.049828800260685605,-0.00407323132630872,3322,13,0.0039133052378085495,0.003999535839626976,-8.623060181842633e-05
2026-07-25T17:42:55.785163+00:00|baseline-v1|boost-lr003-leaf15,2026-07-25T17:42:55.785163+00:00,boost-lr003-leaf15,boosted,"{""learning_rate"": 0.03, ""max_leaf_nodes"": 15}",35.7119,0.7944310175357704,0.0,1.0714316108797721,0.0,0.0006140282103058725,0.8183920265567102,0.7400329638148648,2.2227087358954827,0.8635617248294672,0.0012516825137917425,0.22636965683323299,0.50632149307646,4.262492474413004,0.10647105802675749,2.233797441874449,0.8658950326570848,0.0010677847713242066,0.23088500903070439,0.5072245635159542,4.291992775436484,0.09888454836371208,2.0119328452367746,0.813624747912624,0.0020305560973753085,0.30885009030704397,0.6177001806140879,3.5258880192655027,0.1883848819452103,3322,767,0.23088500903070439,0.23049966096758454,0.00038534806311985026,3322,1711,0.5150511739915713,0.5248572885729634,-0.009806114581392134,3322,268,0.0806742925948224,0.07855638420367882,0.0021179083911435775,3322,617,0.18573148705599038,0.18640582621282725,-0.0006743391568368728,3322,134,0.0403371462974112,0.037241746915916515,0.0030953993814946817,3322,30,0.009030704394942806,0.007714017215590226,0.00131668717935258,3322,77,0.023178807947019868,0.025113338083825595,-0.0019345301368057267,3322,7,0.002107164358819988,0.0015731442101298192,0.0005340201486901688,3322,1026,0.30885009030704397,0.31373974643806524,-0.004889656131021269,3322,2056,0.6189042745334136,0.6469153381936825,-0.028011063660268953,3322,437,0.13154726068633354,0.13223606065855967,-0.0006887999722261229,3322,906,0.2727272727272727,0.2875751386224719,-0.014847865895199208,3322,253,0.076158940397351,0.07215474732638248,0.004004193070968512,3322,72,0.021673690547862733,0.01714168125572251,0.004532009292140222,3322,149,0.0448524984948826,0.05310797696493829,-0.008255478470055692,3322,14,0.004214328717639976,0.004288178310412507,-7.384959277253068e-05
2026-07-25T17:42:55.785163+00:00|baseline-v1|boost-lr003-leaf31,2026-07-25T17:42:55.785163+00:00,boost-lr003-leaf31,boosted,"{""learning_rate"": 0.03, ""max_leaf_nodes"": 31}",42.7811,0.8288800175150535,0.0,1.0714338033311004,0.0,0.0006140266896819124,0.8259600930838346,0.7427359546724103,2.225506983823117,0.864126857815303,0.002336030390470269,0.23088500903070439,0.5096327513546056,4.275737507525587,0.10534616232189986,2.241311650698474,0.86780066312046,0.0004354692008020252,0.2320891029500301,0.49698976520168575,4.307344972907887,0.09585331126440355,2.0119328490062873,0.8136247510730696,0.002030513343715932,0.30885009030704397,0.6177001806140879,3.5258880192655027,0.18838488042458634,3322,771,0.2320891029500301,0.2302689542631606,0.0018201486868694994,3322,1695,0.5102347983142685,0.5258266170693485,-0.015591818755079978,3322,263,0.07916917519566526,0.07908273915305565,8.643604260960558e-05,3322,594,0.17880794701986755,0.18734356648326853,-0.008535619463400979,3322,118,0.03552077062010837,0.03749831145520672,-0.0019775408350983514,3322,28,0.008428657435279952,0.00775685557963157,0.0006718018556483817,3322,67,0.0201685731487056,0.025063569793568406,-0.004894996644862808,3322,6,0.001806140878988561,0.0015743028228120868,0.00023183805617647433,3322,1026,0.30885009030704397,0.31374027924978504,-0.004890188942741069,3322,2056,0.6189042745334136,0.6482985359723885,-0.029394261438974945,3322,437,0.13154726068633354,0.13316411087752564,-0.001616850191192093,3322,906,0.2727272727272727,0.2889619463156706,-0.01623467358839792,3322,253,0.076158940397351,0.07269368356488465,0.0034652568324663457,3322,72,0.021673690547862733,0.017284066391796526,0.004389624156066207,3322,149,0.0448524984948826,0.05351045470955952,-0.008657956214676923,3322,14,0.004214328717639976,0.004330476731202027,-0.00011614801356205073
2026-07-25T17:42:55.785163+00:00|baseline-v1|boost-lr006-leaf15,2026-07-25T17:42:55.785163+00:00,boost-lr006-leaf15,boosted,"{""learning_rate"": 0.06, ""max_leaf_nodes"": 15}",30.5381,0.8411592136247354,0.0,1.07143132285116,0.0,0.0006140284099837023,0.8098512766458034,0.727053556371583,2.2243237692041187,0.8643508654966382,0.0029718126212943943,0.22245635159542446,0.5099337748344371,4.273931366646599,0.10582181461478368,2.2430660401354485,0.8676197419626467,0.0009153868976959425,0.22606863335340158,0.5012040939193257,4.335942203491872,0.09514558933751338,2.0119328447417884,0.8136247474974938,0.002030561714055439,0.30885009030704397,0.6177001806140879,3.5258880192655027,0.18838488214488813,3322,751,0.22606863335340158,0.23085754102494993,-0.004788907671548354,3322,1680,0.5057194461167971,0.5237114839134006,-0.01799203779660352,3322,261,0.07856712823600241,0.07900986807421367,-0.00044273983821126184,3322,596,0.1794099939795304,0.18650310396095068,-0.0070931099814202925,3322,116,0.034918723660445516,0.03740374830511969,-0.0024850246446741706,3322,22,0.006622516556291391,0.0077711063781592095,-0.0011485898218678188,3322,68,0.020469596628537028,0.025345732850999326,-0.004876136222462298,3322,5,0.0015051173991571343,0.0016032386282013146,-9.812122904418038e-05,3322,1026,0.30885009030704397,0.3137396764410514,-0.004889586134007418,3322,2056,0.6189042745334136,0.6439415889856627,-0.025037314452249104,3322,437,0.13154726068633354,0.13118956858088418,0.00035769210544936425,3322,906,0.2727272727272727,0.284506481537928,-0.011779208810655306,3322,253,0.076158940397351,0.07088814397778896,0.005270796419562032,3322,72,0.021673690547862733,0.016853856570567493,0.00481983397729524,3322,149,0.0448524984948826,0.05186623741287397,-0.007013738917991369,3322,14,0.004214328717639976,0.0041824194044503705,3.190931318960543e-05
2026-07-25T17:42:55.785163+00:00|baseline-v1|boost-lr006-leaf31,2026-07-25T17:42:55.785163+00:00,boost-lr006-leaf31,boosted,"{""learning_rate"": 0.06, ""max_leaf_nodes"": 31}",35.5394,0.8916743540966751,0.0,1.0714315646221533,0.0,0.0006140282423757748,0.826098548390361,0.7335807931631778,2.233208105798879,0.8663442218770453,0.0019229894234910284,0.22004816375677302,0.50210716435882,4.308850090307044,0.10225031118320504,2.2535324111451196,0.8703321118930997,0.0014184564258395613,0.22937989163154726,0.4912703190848886,4.364539434075858,0.09092344794609952,2.011932845157276,0.8136247478459527,0.0020305569994183534,0.30885009030704397,0.6177001806140879,3.5258880192655027,0.1883848819772802,3322,762,0.22937989163154726,0.2275379572147006,0.0018419344168466578,3322,1686,0.5075255869957856,0.5211988463499966,-0.013673259354210932,3322,266,0.08007224563515954,0.07859781639086554,0.001474429244294001,3322,580,0.17459361830222758,0.1854666926856175,-0.010873074383389913,3322,115,0.03461770018061409,0.03751531031774966,-0.0028976101371355756,3322,29,0.008729680915111379,0.007760860636835865,0.0009688202782755142,3322,61,0.01836243226971704,0.02525683690794083,-0.006894404638223793,3322,6,0.001806140878988561,0.0016068651901911578,0.0001992756887974033,3322,1026,0.30885009030704397,0.31373973519649107,-0.004889644889447098,3322,2056,0.6189042745334136,0.6470234076101523,-0.028119133076738745,3322,437,0.13154726068633354,0.13318071610617327,-0.0016334554198397244,3322,906,0.2727272727272727,0.2875913819864679,-0.01486410925919518,3322,253,0.076158940397351,0.07208536737472976,0.004073573022621235,3322,72,0.021673690547862733,0.01716646330878175,0.004507227239080983,3322,149,0.0448524984948826,0.05277841060787427,-0.007925912112991672,3322,14,0.004214328717639976,0.0042761711999305795,-6.184248229060361e-05
