ID,RCTRCK,RACE_DE,RACE_NO,PARTCPT_NO,RANK,RCHOSE_NM,HRSMN,RCORD,ARVL_DFFRNC,EACH_SCTN_PASAGE_RANK,A_WIN_SYTM_EXPECT_ALOT,WIN_STA_EXPECT_ALOT
1,부경,2005-01-07,8,4,3,언큐어드디자이어,오영일,01:17.7,5,4 -  -  - 4 - 4 - 4 - ,,
2,부경,2005-01-07,8,6,4,이스케이프트러브,박재호,01:17.7,½,3 -  -  - 2 - 1 - 2 - ,,
3,부경,2005-01-07,8,7,1,절영,임성실,01:16.5,,1 -  -  - 1 - 2 - 1 - ,,
4,부경,2005-01-07,5,4,2,범방동,유현명,01:04.1,¾,1 -  -  -  - 1 - 2 - ,,
5,부경,2005-01-07,5,7,4,강슛,김태경,01:04.2,머리,4 -  -  -  - 4 - 1 - ,,
6,부경,2005-01-07,7,8,7,스위트차일드,김서진,01:05.3,6,4 -  -  -  - 3 - 3 - ,,
7,부경,2005-01-07,8,1,2,크립토즈걸,양영남,01:16.9,2,6 -  -  - 6 - 6 - 5 - ,,
8,부경,2005-01-07,6,3,2,연승쾌감,구영준,01:02.4,1½,2 -  -  -  - 1 - 2 - ,,
9,부경,2005-01-07,6,5,3,윈드레이디,하무선,01:03.2,4,3 -  -  -  - 3 - 3 - ,,
10,부경,2005-01-07,6,6,6,다홍치마,오영일,01:04.1,1,7 -  -  -  - 6 - 5 - ,,
11,부경,2005-01-07,6,7,7,리듬메이커,최인덕,01:04.9,5,4 -  -  -  - 5 - 7 - ,,
12,부경,2005-01-07,1,3,8,부경특급,오영일,01:05.8,2½,8 -  -  -  - 8 - 8 - ,,
13,부경,2005-01-07,10,7,,고운뜰,하태국,01:25.8,실격,7 -  -  - 7 - 7 - 7 - ,,
14,부경,2005-01-07,10,5,1,포스트히어로,한상규,01:16.5,,6 -  -  - 6 - 5 - 5 - ,,
15,부경,2005-01-07,10,3,4,젤리,박진희,01:17.8,¾,2 -  -  - 2 - 2 - 2 - ,,
16,부경,2005-01-07,5,3,5,실력발휘,문중원,01:04.2,코,3 -  -  -  - 2 - 3 - ,,
17,부경,2005-01-07,5,5,7,럭키폭스,김서진,01:07.5,15,7 -  -  -  - 7 - 7 - ,,
18,부경,2005-01-07,6,4,4,민들레,유현명,01:03.4,1,5 -  -  -  - 4 - 4 - ,,
19,부경,2005-01-07,7,3,3,통일기원,채규준,01:03.3,4,6 -  -  -  - 6 - 5 - ,,
20,부경,2005-01-07,7,7,,승리기원,구영준,,출전제외, -  -  -  -  -  - ,,
21,부경,2005-01-07,8,3,7,민자딘,구민성,01:19.0,1,2 -  -  - 3 - 3 - 3 - ,,
22,부경,2005-01-07,3,2,2,안데스,유현명,01:06.2,1,2 -  -  -  - 2 - 1 - ,,
23,부경,2005-01-07,4,4,3,텔리큐엔셜,이영우,01:03.6,4,2 -  -  -  - 2 - 3 - ,,
24,부경,2005-01-07,9,9,5,산무리,박재호,01:19.1,1¾,6 -  -  - 8 - 8 - 6 - ,,
25,부경,2005-01-07,9,3,,우격다짐,문중원,,출전취소, -  -  -  -  -  - ,,
26,부경,2005-01-07,8,5,5,블랙라이언,조찬훈,01:18.6,5,7 -  -  - 7 - 7 - 7 - ,,
27,부경,2005-01-07,5,1,6,촉석루,하태국,01:04.9,4,6 -  -  -  - 6 - 6 - ,,
28,부경,2005-01-07,4,7,1,경이로운,구민성,01:02.7,,3 -  -  -  - 3 - 2 - ,,
29,부경,2005-01-07,4,1,5,불암산,김태준,01:04.8,5,7 -  -  -  - 7 - 7 - ,,
30,부경,2005-01-07,3,5,6,천둥동자,김태준,01:07.7,1½,1 -  -  -  - 1 - 2 - ,,
31,부경,2005-01-07,3,3,1,홈런킹,구영준,01:06.0,,7 -  -  -  - 7 - 6 - ,,
32,부경,2005-01-07,3,1,7,흑검,오영일,01:08.2,3,5 -  -  -  - 6 - 7 - ,,
33,부경,2005-01-07,2,8,4,윈뱅크,박진희,01:05.0,목,2 -  -  -  - 2 - 2 - ,,
34,부경,2005-01-07,2,7,1,신사풍,최인덕,01:02.7,,1 -  -  -  - 1 - 1 - ,,
35,부경,2005-01-07,8,2,6,끝없는도전,박진희,01:18.8,1,5 -  -  - 5 - 5 - 6 - ,,
36,부경,2005-01-07,6,1,5,애드머럴리가트,구민성,01:03.9,3,6 -  -  -  - 7 - 6 - ,,
37,부경,2005-01-07,5,6,3,화려한불꽃,한상규,01:04.1,코,2 -  -  -  - 3 - 4 - ,,
38,부경,2005-01-07,1,8,2,집중조명,구민성,01:04.1,3,1 -  -  -  - 3 - 1 - ,,
39,부경,2005-01-07,2,4,7,대륙의꿈,조찬훈,01:05.8,코,7 -  -  -  - 6 - 5 - ,,
40,부경,2005-01-07,2,5,6,스피드스타트,문중원,01:05.8,1½,4 -  -  -  - 7 - 7 - ,,
41,부경,2005-01-07,2,6,3,공원자랑,한상규,01:04.9,2,5 -  -  -  - 4 - 3 - ,,
42,부경,2005-01-07,3,6,5,명문구단,한상규,01:07.4,4,3 -  -  -  - 3 - 3 - ,,
43,부경,2005-01-07,3,7,4,곤돌라,하태국,01:06.7,¾,6 -  -  -  - 5 - 5 - ,,
44,부경,2005-01-07,4,3,2,미광,유현명,01:03.0,1¾,1 -  -  -  - 1 - 1 - ,,
45,부경,2005-01-07,4,6,4,특집,양영남,01:03.9,1½,4 -  -  -  - 4 - 4 - ,,
46,부경,2005-01-07,5,2,1,당대지존,구영준,01:04.0,,5 -  -  -  - 5 - 5 - ,,
47,부경,2005-01-07,10,1,5,얼루어링알레타,박재호,01:18.5,4,3 -  -  - 3 - 4 - 4 - ,,
48,부경,2005-01-07,1,4,1,겟잇인디아,한상규,01:03.5,,5 -  -  -  - 5 - 7 - ,,
49,부경,2005-01-07,4,5,7,디엠머치,채규준,01:05.7,2,6 -  -  -  - 6 - 6 - ,,
50,부경,2005-01-07,7,2,2,윈앤드윈,유현명,01:02.5,2,1 -  -  -  - 1 - 1 - ,,
51,부경,2005-01-07,3,4,3,스피드라이트,문중원,01:06.6,2,4 -  -  -  - 4 - 4 - ,,
52,부경,2005-01-07,10,4,6,크리스티즈참,유현명,01:18.9,2,4 -  -  - 5 - 6 - 6 - ,,
53,부경,2005-01-07,1,2,5,오리지널,구영준,01:04.8,1¼,6 -  -  -  - 6 - 6 - ,,
54,부경,2005-01-07,1,5,6,해찬솔,조찬훈,01:04.9,목,4 -  -  -  - 4 - 4 - ,,
55,부경,2005-01-07,1,6,4,뷰티플댄스,박진희,01:04.6,1¼,3 -  -  -  - 1 - 2 - ,,
56,부경,2005-01-07,2,1,5,선봉시대,유현명,01:05.5,3,3 -  -  -  - 3 - 4 - ,,
57,부경,2005-01-07,2,2,8,고운나라,이영우,01:06.8,6,6 -  -  -  - 5 - 6 - ,,
58,부경,2005-01-07,6,2,1,임패션드댄서,조찬훈,01:02.2,,1 -  -  -  - 2 - 1 - ,,
59,부경,2005-01-07,9,2,6,부산날개,하태국,01:20.0,5,4 -  -  - 5 - 5 - 7 - ,,
60,부경,2005-01-07,9,4,4,빅보러,하무선,01:18.8,1¾,1 -  -  - 1 - 1 - 2 - ,,
61,부경,2005-01-07,9,5,8,대사도모,양영남,01:21.9,10,7 -  -  - 7 - 7 - 8 - ,,
62,부경,2005-01-07,9,6,2,번개불,구민성,01:17.4,1,3 -  -  - 3 - 3 - 3 - ,,
63,부경,2005-01-07,9,7,7,단숨,박진희,01:20.2,¾,8 -  -  - 6 - 6 - 5 - ,,
64,부경,2005-01-07,9,8,1,금방아,한상규,01:17.2,,2 -  -  - 2 - 2 - 1 - ,,
65,부경,2005-01-07,9,1,3,광야탈출,김서진,01:18.5,6,5 -  -  - 4 - 4 - 4 - ,,
66,부경,2005-01-07,4,2,6,터프피치,하태국,01:05.4,3,5 -  -  -  - 5 - 5 - ,,
67,부경,2005-01-07,1,1,3,제일먼저,김태준,01:04.4,1¾,7 -  -  -  - 7 - 5 - ,,
68,부경,2005-01-07,2,3,2,근원물결,하무선,01:04.6,11,8 -  -  -  - 8 - 8 - ,,
69,부경,2005-01-07,7,1,6,체인지어브더캣,하태국,01:04.3,2½,5 -  -  -  - 5 - 6 - ,,
70,부경,2005-01-07,10,2,2,무제한급,임성실,01:16.6,¾,1 -  -  - 1 - 1 - 1 - ,,
71,부경,2005-01-07,10,6,3,부산공주,김서진,01:17.6,6,5 -  -  - 4 - 3 - 3 - ,,
72,부경,2005-01-07,1,7,7,다스름,임성실,01:05.3,2½,2 -  -  -  - 2 - 3 - ,,
73,부경,2005-01-07,7,4,5,매덤무어,한상규,01:03.8,¾,7 -  -  -  - 7 - 7 - ,,
74,부경,2005-01-07,7,5,1,감동적,박진희,01:02.2,,3 -  -  -  - 4 - 4 - ,,
75,부경,2005-01-07,7,6,4,블루머린,박재호,01:03.6,2½,2 -  -  -  - 2 - 2 - ,,
76,부경,2005-01-14,7,6,,고모리,오영일,,출전제외, -  -  -  -  -  - ,,
77,부경,2005-01-14,7,4,9,별누리,박재호,01:23.4,6,8 -  -  - 8 - 8 - 9 - ,,
78,부경,2005-01-14,7,3,8,무역항,김태준,01:22.3,3,2 -  -  - 3 - 3 - 4 - ,,
79,부경,2005-01-14,6,5,7,폰지폰제릴리,하무선,01:05.3,½,6 -  -  -  - 6 - 6 - ,,
80,부경,2005-01-14,6,4,8,고속독주,문중원,01:05.5,1½,7 -  -  -  - 8 - 8 - ,,
81,부경,2005-01-14,4,5,8,리드풋,양영남,01:04.6,코,8 -  -  -  - 8 - 9 - ,,
82,부경,2005-01-14,4,8,9,기적부활,오영일,01:05.2,4,9 -  -  -  - 9 - 8 - ,,
83,부경,2005-01-14,6,6,1,어매터어브럭,양영남,01:03.2,,3 -  -  -  - 2 - 2 - ,,
84,부경,2005-01-14,6,9,9,어워크인더스카이,하태국,01:06.2,4,9 -  -  -  - 9 - 9 - ,,
85,부경,2005-01-14,7,8,1,이시대최고,구영준,01:17.5,,1 -  -  - 1 - 1 - 1 - ,,
86,부경,2005-01-14,8,4,8,니얼리코드,이영우,01:19.9,5,7 -  -  - 6 - 6 - 6 - ,,
87,부경,2005-01-14,1,1,1,일심만능,박진희,01:04.0,,4 -  -  -  - 4 - 4 - ,,
88,부경,2005-01-14,1,7,3,다솔사,하태국,01:04.4,2,3 -  -  -  - 3 - 3 - ,,
89,부경,2005-01-14,8,5,5,큰곰자리,박재호,01:17.7,¾,8 -  -  - 8 - 9 - 8 - ,,
90,부경,2005-01-14,9,10,1,막강전력,박진희,01:17.9,,3 -  -  - 3 - 4 - 2 - ,,
91,부경,2005-01-14,9,7,5,튜닝업,문중원,01:19.4,½,7 -  -  - 5 - 5 - 5 - ,,
92,부경,2005-01-14,9,5,4,포석정,김태준,01:19.3,1,4 -  -  - 4 - 3 - 3 - ,,
93,부경,2005-01-14,9,3,3,화려한출발,최인덕,01:19.1,1,5 -  -  - 6 - 6 - 6 - ,,
94,부경,2005-01-14,9,1,8,만불산,한상규,01:20.3,4,10 -  -  - 10 - 10 - 10 - ,,
95,부경,2005-01-14,8,8,1,원더러브,구민성,01:15.8,,3 -  -  - 3 - 3 - 1 - ,,
96,부경,2005-01-14,8,2,7,트레인,유현명,01:19.1,7,9 -  -  - 9 - 8 - 9 - ,,
97,부경,2005-01-14,8,1,6,랩타임,문중원,01:17.9,1¼,5 -  -  - 5 - 5 - 3 - ,,
98,부경,2005-01-14,2,6,1,꾸준한,구민성,01:03.9,,5 -  -  -  - 5 - 2 - ,,
99,부경,2005-01-14,2,5,4,마부작침,한상규,01:05.1,3,6 -  -  -  - 7 - 8 - ,,
