ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2007-01-05,한,암,,54,오문식,변미영,452
2,부경,2007-01-05,한,암,,52,장세한,김경태,470
3,부경,2007-01-05,한,암,,54,장세한,이예은,430
4,부경,2007-01-05,한,암,,51,한상복,양정두,476
5,부경,2007-01-05,한,암,,50,유병복,전성연,441
6,부경,2007-01-05,뉴,암,,56.5,임금만,김갑수,448
7,부경,2007-01-05,한,암,,51,조용배,김훈,432
8,부경,2007-01-05,한,암,,51,윤주혁,민우식,444
9,부경,2007-01-05,미,암,,50,이정표,박수영,405
10,부경,2007-01-05,한,암,,51,조용배,김훈,424
11,부경,2007-01-05,뉴,암,,50,김상석,강복실,443
12,부경,2007-01-05,한,암,,51,고홍석,고경현,450
13,부경,2007-01-05,한,암,,54,김영관,구영본,450
14,부경,2007-01-05,한,암,,53,김창옥,이성기,444
15,부경,2007-01-05,미,수,,54,백광열,박웅진,445
16,부경,2007-01-05,호,수,,51,임금만,임용근,468
17,부경,2007-01-05,한,수,,53,양귀선,조용희,508
18,부경,2007-01-05,호,암,,54,김길중,이창석,446
19,부경,2007-01-05,일,암,,52,김상석,곽정주,410
20,부경,2007-01-05,한,거,,54,강병은,이원재,458
21,부경,2007-01-05,미,암,,51,김병학,김진영b,469
22,부경,2007-01-05,호,암,,50,김성현,이북동,438
23,부경,2007-01-05,미,수,,56,임금만,박정배,416
24,부경,2007-01-05,한,암,,54,강병은,신상웅,430
25,부경,2007-01-05,미,거,,53.5,김영관,박광순,450
26,부경,2007-01-05,호,거,,56,한상복,조영자,455
27,부경,2007-01-05,미,거,,54,임금만,정완모,435
28,부경,2007-01-05,호,거,,55,김영관,구영본,451
29,부경,2007-01-05,호,거,,53,김남중,임병효,465
30,부경,2007-01-05,미,거,,52.5,오문식,곽정주,478
31,부경,2007-01-05,미,거,,60.5,김재섭,고경민,468
32,부경,2007-01-05,호,거,,55,김영관,박선희,435
33,부경,2007-01-05,캐,암,,50,양귀선,서한철,469
34,부경,2007-01-05,미,암,,53,김영관,류용상,453
35,부경,2007-01-05,호,거,,54,김병학,김용석,419
36,부경,2007-01-05,미,암,,55,윤주혁,최영근,491
37,부경,2007-01-05,미,암,,54.5,고홍석,배동성,499
38,부경,2007-01-05,미,암,,53,김재섭,이시환,428
39,부경,2007-01-05,미,암,,51,장세한,배동성,430
40,부경,2007-01-05,한,암,,53,김재섭,송문관,470
41,부경,2007-01-05,한,암,,49,최기홍,이예은,460
42,부경,2007-01-05,한,암,,50,양귀선,이성님,417
43,부경,2007-01-05,한,암,,50,조용배,전병연,397
44,부경,2007-01-05,호,암,,55,김상석,현구연,393
